name,city,field,lon,lat
"Robinson, Jason","Delray Beach, FL",ComicBook,-80.07282,26.461462
"Roda, Bot","Lancaster, PA",ComicBook,-76.305514,40.037875
"Rodier, Denis",,ComicBook,,
"Roldan, Jim","East Hampstead, NH",ComicBook,-71.145489,42.889766
"Rosen, Jonathon",,ComicBook,,
"Rosenthal, Marc",,ComicBook,,
"Royle, John",,ComicBook,,
"Ruan, Feifei",,ComicBook,,
"Ruble, Stephanie",,ComicBook,,
"Ruth, Greg",,ComicBook,,
"Ryan, Inzana","Brooklyn, NY",ComicBook,-73.944158,40.678178
Salgood Sam,"Montreal, QC",ComicBook,-73.567256,45.501689
"Sandbox Studio, Inc.","Sterling Heights, MI",ComicBook,-83.030203,42.580312
"Sansone, Rik","Long Island City, NY",ComicBook,-73.948542,40.744679
"Sarrazin, Marisol","St. Adele, QC",ComicBook,-74.136029,45.952109
"Schlitz, Danny","Lake Tapps, WA",ComicBook,-122.170177,47.214793
"Schwager, Rob","New Port Richey, FL",ComicBook,-82.719267,28.244177
"Seeley, Dave",,ComicBook,,
"Shaw, Stan",,ComicBook,,
"Shems, Ed","Needham, MA",ComicBook,-71.237755,42.280929
"Shimizu, Shingo",,ComicBook,,
"Short, Robbie","Marietta, GA",ComicBook,-84.549933,33.952602
"Silvani, James","Kihei, HI",ComicBook,-156.445006,20.764428
"Silver, Judy Reed",,ComicBook,,
"Simard, Remy",,ComicBook,,
"Simpson, Howard",,ComicBook,,
"Sirrell, Terry",,ComicBook,,
"Skillicorn, Mark",,ComicBook,,
"Slade, Christian",,ComicBook,,
"Sledd, John W.","Woodbridge, VA",ComicBook,-77.249705,38.658172
"Sloan, Michael",,ComicBook,,
"Smallwood, Steve","Moscow, ID",ComicBook,-117.000165,46.732387
"Smith, Andy",,ComicBook,,
"Snook, Ryan",,ComicBook,,
"Spangler, Brie",,ComicBook,,
"Speer, Chris","Santa Fe, NM",ComicBook,-105.937799,35.686975
"Spina, Joseph M.","North Reading, MA",ComicBook,-71.078665,42.575094
"Spurlock, J. David","Coral Gables, FL",ComicBook,-80.268384,25.72149
"St.Pierre, Joe",,ComicBook,,
"Stamaty, Mark Alan",,ComicBook,,
"Starnes, Thomas Jr.","Sacramento, CA",ComicBook,-121.4944,38.581572
"Stattmiller, Andy Illustration","San Francisco, CA",ComicBook,-122.419416,37.774929
"Stevens, Donald","Atlanta, GA",ComicBook,-84.387982,33.748995
"Stites, Theresa","Barstow, CA",ComicBook,-117.017283,34.895796
"Storey, Barron","San Francisco, CA",ComicBook,-122.419416,37.774929
"Storyteller's Workshop, Inc.",,ComicBook,,
"Stover, Shane","Los Angeles, CA",ComicBook,-118.243685,34.052234
Stubborn Sideburn,"Seattle, WA",ComicBook,47.606209,-122.332071
"Studer, Jerome",,ComicBook,,
Studio Liddell,,ComicBook,,
"Suisman, Maggie","Brooklyn, NY",ComicBook,-73.944158,40.678178
"Sullivan, Dave","Westwood, MA",CartoonCharacter,-71.224499,42.213987
"Sutliff, Joe","Centreville, VA",CartoonCharacter,-77.428877,38.840391
"Sutton, Ward","New York, NY",CartoonCharacter,-74.005973,40.712775
"Swaab, Neil",,CartoonCharacter,,
"Sweny, Stephen",,CartoonCharacter,,
"Swift, Elvis",,CartoonCharacter,,
"Swift, Gary",,CartoonCharacter,,
Szorady Design,,CartoonCharacter,,
Tado,,CartoonCharacter,,
